student_ID,Gender,EthnicGroup,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,MathScore,ReadingScore,School
214,male,group E,standard,NA,married,sometimes,87,91,1
215,male,group B,standard,completed,NA,regularly,86,84,1
216,female,group E,free/reduced,completed,married,sometimes,80,84,1
217,female,group C,free/reduced,NA,married,regularly,33,41,1
218,male,group B,free/reduced,none,married,sometimes,64,75,1
219,male,group B,standard,completed,single,never,59,55,1
220,female,group D,standard,completed,widowed,regularly,57,69,1
221,male,group B,standard,none,married,sometimes,89,86,1
222,female,group C,free/reduced,NA,divorced,sometimes,55,65,1
223,male,group D,standard,none,married,regularly,88,81,1
224,female,group B,standard,completed,divorced,regularly,55,67,1
225,female,group E,free/reduced,none,married,sometimes,43,55,1
226,female,group C,standard,none,married,sometimes,72,72,1
227,male,group D,standard,none,single,regularly,58,50,1
228,male,group A,free/reduced,none,divorced,sometimes,68,72,1
229,female,group C,standard,completed,married,regularly,93,97,1
230,male,group D,standard,none,married,regularly,78,64,1
231,male,group C,standard,none,married,regularly,47,43,1
232,female,group B,standard,none,married,sometimes,67,86,1
233,male,group E,standard,none,divorced,sometimes,94,88,1
234,male,group C,standard,completed,married,sometimes,85,83,1
235,male,group D,standard,none,married,regularly,84,77,1
236,male,group D,free/reduced,none,divorced,regularly,62,65,1
237,female,group D,standard,NA,married,sometimes,62,59,1
238,male,group B,standard,none,married,regularly,57,53,1
239,male,group C,standard,none,NA,sometimes,84,80,1
240,male,group D,free/reduced,completed,divorced,NA,75,69,1
241,female,group E,standard,none,single,regularly,82,84,1
243,male,group E,standard,NA,single,regularly,58,50,1
244,male,group D,standard,none,divorced,regularly,74,73,1
245,male,group C,standard,none,married,sometimes,82,74,1
246,male,group E,standard,NA,married,regularly,91,77,1
247,female,group B,standard,completed,single,sometimes,58,70,1
248,female,group B,standard,none,married,sometimes,63,63,1
249,male,NA,standard,none,married,sometimes,70,60,1
250,male,group A,standard,completed,single,sometimes,47,49,1
251,female,group D,free/reduced,none,married,regularly,70,82,1
252,female,group B,standard,completed,single,sometimes,60,70,1
253,male,group D,standard,none,married,sometimes,80,80,1
254,male,group D,standard,none,married,sometimes,54,52,1
255,female,group E,standard,none,single,sometimes,62,73,1
256,female,group C,free/reduced,none,single,sometimes,62,71,1
257,male,NA,standard,completed,married,regularly,80,78,1
260,female,group C,free/reduced,completed,married,sometimes,65,80,1
261,male,group C,standard,completed,married,sometimes,79,79,1
262,female,group C,free/reduced,none,married,regularly,45,50,1
263,female,group E,standard,none,single,sometimes,99,93,1
264,male,group D,standard,none,married,sometimes,76,73,1
265,male,group D,free/reduced,none,divorced,sometimes,57,41,1
266,female,NA,standard,none,married,sometimes,61,73,1
267,female,group D,standard,none,married,regularly,71,73,1
268,female,group D,standard,completed,married,regularly,93,94,1
269,female,group E,free/reduced,none,married,sometimes,71,76,1
270,male,group C,standard,none,married,sometimes,69,63,1
271,male,group C,standard,NA,single,regularly,57,48,1
272,female,group D,free/reduced,none,single,regularly,48,53,1
273,female,group D,standard,none,married,sometimes,65,70,1
274,male,group B,standard,completed,widowed,NA,85,83,1
275,male,group C,standard,none,married,sometimes,83,78,1
276,female,group C,standard,completed,married,sometimes,82,90,1
277,female,group E,standard,completed,single,sometimes,57,62,1
278,female,group C,free/reduced,none,married,sometimes,65,86,1
279,male,group B,free/reduced,none,widowed,sometimes,73,56,1
281,male,group D,standard,none,divorced,sometimes,45,48,1
282,female,group D,free/reduced,none,divorced,regularly,75,80,1
283,female,group D,free/reduced,completed,NA,never,67,76,1
284,female,NA,standard,none,married,regularly,36,45,1
285,male,group B,standard,completed,married,never,78,80,1
286,male,group E,standard,completed,married,regularly,99,83,1
287,female,group B,standard,none,married,sometimes,64,87,1
288,male,group B,free/reduced,none,single,sometimes,85,73,1
289,male,NA,standard,completed,married,sometimes,79,77,1
290,male,group C,standard,none,married,sometimes,76,70,1
291,male,group D,standard,none,married,sometimes,83,71,1
292,male,group C,standard,completed,married,never,61,59,1
293,female,group E,standard,none,married,sometimes,66,74,1
294,male,group D,free/reduced,completed,single,regularly,80,78,1
295,male,group B,free/reduced,none,married,never,66,61,1
296,male,NA,standard,completed,widowed,regularly,47,41,1
297,male,NA,standard,completed,single,regularly,73,75,1
298,male,group C,free/reduced,completed,single,regularly,39,45,1
299,male,group D,free/reduced,none,married,regularly,89,86,1
300,male,group A,free/reduced,completed,married,never,76,75,1
301,male,group D,free/reduced,NA,divorced,regularly,55,53,1
302,female,group C,standard,completed,single,never,66,83,1
303,male,group B,standard,none,married,regularly,82,77,1
304,female,group C,standard,completed,married,regularly,76,76,1
305,male,group A,standard,none,NA,sometimes,69,67,1
306,male,group E,standard,completed,divorced,regularly,100,88,1
307,male,group C,standard,none,single,regularly,52,52,1
308,female,group B,free/reduced,none,married,regularly,56,73,1
309,female,group D,free/reduced,NA,single,regularly,48,56,1
310,female,group B,standard,none,married,sometimes,73,76,1
311,male,group B,standard,none,married,never,62,58,1
312,male,group D,standard,completed,single,sometimes,67,61,1
313,female,group C,free/reduced,completed,single,sometimes,70,68,1
315,male,group C,standard,none,married,regularly,73,66,1
316,female,group D,standard,completed,widowed,never,74,80,1
317,male,group C,standard,none,single,sometimes,83,72,1
318,male,group B,standard,none,married,sometimes,61,69,1
319,female,group D,free/reduced,none,single,regularly,55,64,1
320,female,group C,free/reduced,NA,divorced,sometimes,64,77,1
321,female,group E,standard,none,married,never,74,85,1
322,female,group C,standard,none,married,regularly,70,80,1
323,female,group C,free/reduced,none,married,sometimes,40,52,1
324,female,group C,free/reduced,none,divorced,sometimes,39,45,1
325,female,group C,standard,none,single,sometimes,82,90,1
326,male,group C,standard,none,married,sometimes,61,61,1
327,male,group A,free/reduced,none,married,regularly,29,23,1
328,male,group C,standard,completed,married,sometimes,82,75,1
329,female,group B,standard,none,married,sometimes,39,54,1
330,male,group C,standard,none,single,regularly,70,59,1
331,male,group C,standard,none,NA,sometimes,45,36,1
332,male,group E,standard,completed,married,never,61,55,1
333,male,group B,standard,none,single,sometimes,90,78,1
334,female,group C,standard,none,NA,sometimes,83,93,1
335,female,group B,free/reduced,none,married,regularly,62,69,1
336,male,group D,standard,completed,married,regularly,78,71,1
337,male,group C,standard,none,single,regularly,50,51,1
338,female,group B,free/reduced,none,single,sometimes,23,37,1
339,female,group D,free/reduced,completed,married,sometimes,35,55,1
340,male,group C,free/reduced,none,married,regularly,61,62,1
341,female,group C,standard,none,married,regularly,62,74,1
342,female,group B,standard,completed,single,sometimes,66,74,1
343,male,group D,standard,completed,single,sometimes,64,70,1
344,male,group D,standard,none,NA,regularly,78,72,1
345,female,group C,standard,none,married,sometimes,72,80,1
346,male,group B,standard,none,married,sometimes,62,61,1
347,female,group C,standard,completed,married,regularly,76,93,1
349,male,group E,standard,none,divorced,regularly,92,76,1
350,female,group B,standard,none,married,sometimes,52,65,1
351,male,group E,standard,none,married,NA,67,57,1
352,female,group C,standard,completed,married,sometimes,61,76,1
353,female,group C,standard,none,married,regularly,45,57,1
354,female,group C,standard,none,married,never,55,68,1
355,female,group B,standard,none,single,regularly,64,74,1
356,male,group A,standard,none,married,sometimes,63,61,1
357,female,group C,free/reduced,completed,married,sometimes,40,65,1
359,female,group D,standard,none,divorced,sometimes,77,88,1
360,female,group B,standard,none,married,never,56,61,1
361,male,group B,standard,completed,single,regularly,87,85,1
362,female,group C,standard,none,single,regularly,53,58,1
363,female,group D,free/reduced,none,single,sometimes,26,33,1
364,male,group C,standard,none,divorced,regularly,60,60,1
365,male,group A,free/reduced,completed,married,regularly,51,59,1
366,male,group C,standard,completed,married,sometimes,69,58,1
367,male,group C,free/reduced,none,married,regularly,64,67,1
368,female,group A,free/reduced,none,single,sometimes,44,64,1
369,female,group D,standard,none,single,regularly,71,83,1
370,male,group E,standard,none,married,regularly,86,78,1
371,female,group C,free/reduced,completed,single,sometimes,45,73,1
372,male,group D,standard,none,single,sometimes,76,75,1
373,female,group D,standard,completed,married,sometimes,84,98,1
374,female,group D,standard,none,married,sometimes,60,71,1
376,female,group D,standard,none,single,sometimes,82,91,1
377,female,group D,free/reduced,completed,single,sometimes,85,95,1
378,female,group A,standard,none,single,sometimes,73,84,1
379,male,group A,standard,none,married,regularly,67,64,1
380,female,group B,standard,none,single,sometimes,80,86,1
381,male,group C,standard,completed,divorced,sometimes,84,98,1
382,male,group C,free/reduced,none,married,sometimes,79,82,1
383,female,group E,free/reduced,none,divorced,regularly,40,50,1
384,female,group A,free/reduced,none,divorced,never,35,41,1
385,female,group E,standard,none,divorced,regularly,69,77,1
386,female,group E,standard,none,single,sometimes,62,71,1
387,female,group C,free/reduced,none,widowed,regularly,58,79,1
388,female,group D,standard,none,single,sometimes,62,64,1
389,male,group D,standard,none,married,sometimes,71,70,1
390,male,group E,free/reduced,completed,single,regularly,75,68,1
391,female,group D,standard,none,single,sometimes,74,66,1
392,male,group E,standard,none,married,sometimes,78,68,1
393,male,group C,standard,completed,divorced,regularly,60,55,1
394,female,group C,standard,completed,single,sometimes,65,74,1
396,female,group B,free/reduced,none,married,never,48,65,1
398,male,group B,standard,none,single,regularly,73,62,1
399,male,group D,standard,none,single,never,56,57,1
400,female,group C,standard,completed,married,regularly,60,54,1
401,male,group A,standard,NA,married,sometimes,53,43,1
402,female,group A,free/reduced,none,married,regularly,51,66,1
403,female,group D,standard,completed,single,sometimes,88,99,1
404,female,group C,standard,none,single,regularly,55,59,1
405,female,group C,standard,none,married,regularly,62,72,1
406,male,group B,standard,completed,married,regularly,68,66,1
407,female,group B,standard,NA,married,regularly,84,81,1
408,female,group D,free/reduced,completed,divorced,sometimes,52,57,1
409,male,group D,standard,completed,widowed,never,86,83,1
410,female,group D,standard,completed,NA,regularly,72,73,1
411,male,NA,standard,completed,widowed,regularly,86,84,1
412,male,group D,standard,none,married,sometimes,71,66,1
414,female,group C,free/reduced,NA,married,regularly,52,73,1
415,male,group E,standard,none,single,regularly,86,74,1
416,male,group C,standard,completed,married,sometimes,68,72,1
417,male,group C,standard,none,married,sometimes,71,71,1
418,male,group D,standard,none,married,regularly,70,59,1
419,male,group E,free/reduced,completed,married,sometimes,57,56,1
421,female,group D,standard,completed,married,regularly,56,57,1
422,female,group D,free/reduced,completed,divorced,never,47,59,1
423,female,group A,standard,completed,married,sometimes,57,83,1
424,male,NA,free/reduced,none,married,NA,41,39,1
425,female,NA,free/reduced,none,single,sometimes,60,65,1
426,male,group C,standard,none,married,regularly,88,84,1
427,male,group C,free/reduced,none,single,regularly,71,72,1
428,male,group A,free/reduced,NA,single,sometimes,65,59,1
429,male,group C,free/reduced,none,married,sometimes,70,63,1
430,male,NA,free/reduced,none,married,sometimes,62,65,1
431,female,group C,standard,none,single,sometimes,61,72,1
432,male,group C,standard,none,single,never,57,54,1
433,female,group A,free/reduced,none,divorced,sometimes,45,58,1
434,male,group C,standard,none,married,sometimes,75,66,1
435,male,NA,free/reduced,completed,married,sometimes,50,48,1
436,male,group D,standard,none,married,regularly,77,69,1
437,male,group D,free/reduced,none,divorced,sometimes,75,66,1
438,male,group C,standard,NA,single,regularly,69,55,1
439,male,group D,standard,completed,married,sometimes,89,88,1
440,female,group C,standard,completed,single,regularly,69,82,1
441,female,group D,standard,none,married,sometimes,78,81,1
442,female,group A,free/reduced,none,married,sometimes,59,73,1
443,female,NA,standard,none,NA,sometimes,70,81,1
444,male,group A,free/reduced,none,married,sometimes,79,82,1
445,female,group C,standard,completed,divorced,regularly,69,75,1
446,male,group D,free/reduced,none,NA,regularly,73,67,1
447,male,group C,standard,completed,single,regularly,91,83,1
448,male,group B,standard,none,widowed,regularly,48,46,1
449,male,group B,standard,none,single,regularly,83,74,1
450,female,group C,free/reduced,completed,divorced,sometimes,64,85,1
451,female,group E,standard,none,married,sometimes,100,92,1
452,female,group C,free/reduced,none,married,regularly,68,79,1
453,male,group C,free/reduced,none,married,never,64,57,1
454,female,group C,free/reduced,none,NA,regularly,54,61,1
455,male,group C,free/reduced,none,married,sometimes,37,56,1
456,female,group D,standard,none,divorced,sometimes,79,89,1
457,male,group D,free/reduced,none,single,regularly,54,54,1
458,female,group E,standard,none,married,regularly,100,100,1
459,male,group B,standard,NA,married,sometimes,72,65,1
460,male,group C,free/reduced,none,married,regularly,52,57,1
461,male,group B,free/reduced,none,married,sometimes,54,54,1
462,female,group E,standard,none,divorced,never,68,68,1
463,female,group C,free/reduced,none,widowed,sometimes,77,90,1
464,male,group A,standard,completed,divorced,sometimes,75,58,1
465,female,group C,standard,none,married,sometimes,84,87,1
466,female,group D,free/reduced,none,divorced,sometimes,26,31,1
467,male,group A,free/reduced,completed,married,regularly,76,69,1
468,female,group A,free/reduced,completed,single,regularly,79,89,1
469,male,NA,standard,none,married,regularly,93,75,1
470,female,group C,standard,completed,divorced,sometimes,83,85,1
471,female,group C,standard,NA,married,regularly,62,68,1
472,female,group C,standard,completed,married,sometimes,68,86,1
473,female,group D,standard,none,married,sometimes,57,66,1
474,female,group B,standard,NA,single,sometimes,90,90,1
475,female,group D,standard,completed,NA,sometimes,73,77,1
476,male,group E,standard,completed,single,sometimes,76,62,1
477,male,group D,standard,none,married,sometimes,80,68,1
478,female,group D,standard,none,single,never,53,64,1
479,male,group E,standard,none,single,sometimes,78,72,1
480,male,group B,standard,completed,married,sometimes,73,71,1
481,female,group D,free/reduced,NA,married,sometimes,52,59,1
482,male,NA,free/reduced,none,married,sometimes,70,69,1
483,male,group A,standard,none,divorced,sometimes,59,52,1
484,female,group B,standard,none,single,regularly,48,51,1
485,male,group C,standard,none,married,sometimes,67,72,1
486,male,group D,free/reduced,none,married,sometimes,61,47,1
487,female,group C,free/reduced,none,married,sometimes,60,75,1
488,male,group B,standard,completed,divorced,regularly,65,53,1
489,male,group A,free/reduced,completed,NA,never,76,80,1
490,female,group A,free/reduced,none,married,regularly,64,84,1
491,female,group C,standard,NA,divorced,sometimes,64,64,1
492,female,group C,standard,none,married,sometimes,83,83,1
493,female,group C,standard,none,married,sometimes,78,86,1
494,female,group B,standard,none,divorced,regularly,53,63,1
495,male,group D,standard,completed,divorced,sometimes,68,64,1
496,female,group C,standard,none,married,regularly,53,47,1
497,female,group D,free/reduced,completed,NA,sometimes,59,78,1
499,male,group E,standard,none,married,sometimes,73,69,1
500,female,group D,standard,none,married,sometimes,74,80,1
501,female,group B,standard,completed,married,sometimes,91,85,1
502,male,group C,free/reduced,none,divorced,sometimes,63,61,1
503,female,group E,standard,completed,married,regularly,100,91,1
504,female,group D,free/reduced,none,single,regularly,41,61,1
505,female,group B,standard,none,married,sometimes,79,80,1
506,male,group A,standard,none,married,regularly,70,71,1
508,male,group C,standard,none,single,sometimes,79,78,1
509,female,group C,standard,none,married,regularly,88,93,1
510,male,group D,standard,none,married,sometimes,76,71,1
511,male,group A,standard,none,NA,sometimes,62,49,1
512,male,group D,free/reduced,none,married,regularly,61,48,1
513,female,group B,standard,completed,divorced,regularly,55,61,1
514,female,group B,free/reduced,completed,single,sometimes,77,97,1
515,female,group C,standard,completed,married,sometimes,76,87,1
516,female,group D,standard,none,married,sometimes,74,89,1
517,female,group E,standard,completed,divorced,never,64,72,1
518,female,group D,standard,completed,single,regularly,67,79,1
519,female,group B,free/reduced,completed,married,sometimes,67,78,1
520,male,group D,standard,none,married,sometimes,71,49,1
521,female,group C,standard,none,single,sometimes,91,86,1
522,male,NA,standard,none,married,sometimes,71,58,1
523,male,group C,free/reduced,NA,widowed,regularly,56,61,1
524,male,group C,standard,completed,married,sometimes,53,52,1
525,male,NA,standard,none,single,sometimes,70,60,1
526,male,group C,free/reduced,completed,single,sometimes,54,60,1
527,female,group C,free/reduced,none,divorced,sometimes,36,53,1
528,female,group D,free/reduced,none,single,sometimes,28,40,1
529,female,group C,standard,none,married,never,60,72,1
530,female,group C,standard,completed,married,NA,68,67,1
531,female,group C,standard,none,married,never,45,53,1
532,male,group E,standard,completed,single,sometimes,60,60,1
533,female,group E,standard,completed,married,sometimes,79,88,1
534,male,group B,standard,completed,married,sometimes,75,70,1
535,female,group C,free/reduced,completed,married,sometimes,66,83,1
536,male,NA,standard,completed,single,never,47,58,1
537,female,group D,standard,none,married,never,49,65,1
538,male,NA,standard,completed,NA,sometimes,82,65,1
539,male,group A,standard,completed,married,sometimes,99,93,1
540,male,group C,standard,completed,married,sometimes,75,69,1
541,male,NA,free/reduced,NA,single,sometimes,76,80,1
542,female,NA,standard,none,divorced,regularly,83,78,1
543,female,group D,standard,none,single,regularly,86,97,1
544,female,group D,standard,none,married,sometimes,64,63,1
545,male,group E,free/reduced,completed,married,regularly,80,84,1
546,female,group A,standard,completed,married,sometimes,92,100,1
547,male,group C,standard,completed,divorced,regularly,71,66,1
548,female,group C,free/reduced,none,married,regularly,61,66,1
549,male,group C,standard,none,married,sometimes,77,72,1
550,male,group C,free/reduced,none,NA,sometimes,76,74,1
551,male,group B,free/reduced,completed,married,regularly,89,91,1
552,female,group B,standard,none,married,never,38,47,1
553,male,group D,free/reduced,none,married,regularly,79,62,1
554,male,group E,standard,none,divorced,regularly,56,46,1
555,female,group C,free/reduced,NA,single,regularly,33,40,1
557,male,group C,free/reduced,none,single,regularly,63,69,1
558,female,group B,free/reduced,none,single,sometimes,51,68,1
559,male,group D,standard,none,married,sometimes,75,66,1
560,female,group D,standard,completed,divorced,sometimes,74,75,1
