X,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,start_x,school
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,0,1
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,10-May,52,55,49,0,1
58,male,group D,NA,standard,completed,married,regularly,no,1,private,> 10,61,60,60,0,1
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,0,1
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,NA,school_bus,10-May,39,39,34,0,1
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,10-May,62,61,55,0,1
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,10-May,59,58,59,0,1
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,0,1
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,10-May,45,37,37,0,1
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,10-May,61,73,75,0,1
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,NA,62,58,57,0,1
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,10-May,39,64,57,0,1
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,0,1
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,10-May,42,51,49,0,1
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,10-May,59,56,54,0,1
74,male,group C,some high school,standard,NA,married,sometimes,yes,2,private,< 5,47,48,40,0,1
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,NA,school_bus,10-May,44,41,38,0,1
76,male,group E,some high school,standard,none,NA,sometimes,no,5,school_bus,10-May,28,25,21,0,1
77,male,group A,NA,standard,completed,NA,regularly,yes,NA,NA,10-May,82,79,83,0,1
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,0,1
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,10-May,60,68,68,0,1
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,0,1
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,NA,49,45,45,0,1
82,male,group A,some college,free/reduced,completed,married,sometimes,no,NA,school_bus,10-May,50,47,54,0,1
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,10-May,74,64,64,0,1
84,male,group D,high school,free/reduced,none,married,never,NA,3,private,10-May,40,38,33,0,1
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,10-May,73,80,82,0,1
86,female,group C,some college,free/reduced,none,married,sometimes,yes,NA,school_bus,< 5,73,81,86,0,1
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,10-May,71,71,74,0,1
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,0,1
89,female,group D,some high school,standard,none,single,sometimes,yes,NA,private,> 10,75,87,83,0,1
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,NA,10-May,27,34,36,0,1
92,male,group C,high school,standard,none,divorced,sometimes,no,1,NA,< 5,68,77,69,0,1
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,0,1
94,female,group B,some college,standard,none,married,regularly,yes,4,private,10-May,81,87,94,0,1
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,10-May,63,65,61,0,1
97,female,NA,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,0,1
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,NA,> 10,61,69,64,0,1
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,0,1
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,10-May,79,67,67,0,1
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,10-May,68,74,74,0,1
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,10-May,87,92,91,0,1
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,10-May,61,44,48,0,1
104,male,NA,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,0,1
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,10-May,58,67,72,0,1
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,10-May,87,100,100,0,1
107,male,group E,NA,standard,completed,single,sometimes,yes,0,school_bus,10-May,66,63,64,0,1
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,10-May,52,76,70,0,1
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,10-May,72,64,73,0,1
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,0,1
111,male,group C,high school,standard,none,single,regularly,no,6,NA,10-May,63,55,50,0,1
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,10-May,54,53,47,0,1
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,0,1
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,0,1
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,10-May,84,77,74,0,1
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,10-May,72,83,79,0,1
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,10-May,75,80,77,0,1
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,0,1
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,10-May,55,69,65,0,1
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,10-May,76,90,86,0,1
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,0,1
122,female,group C,some college,standard,completed,single,regularly,yes,1,NA,10-May,90,94,95,0,1
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,NA,63,57,56,0,1
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,0,1
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,0,1
126,male,group B,NA,standard,none,married,NA,no,3,private,10-May,72,68,67,0,1
127,male,group D,some college,standard,NA,married,regularly,no,3,school_bus,< 5,64,76,74,0,1
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,0,1
129,female,group A,bachelor's degree,standard,none,NA,regularly,yes,0,school_bus,10-May,52,49,52,0,1
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,0,1
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,0,1
132,male,NA,some college,free/reduced,completed,married,regularly,yes,2,school_bus,10-May,89,75,71,0,1
133,female,NA,some college,standard,completed,married,never,no,6,NA,< 5,70,78,80,0,1
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,0,1
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,NA,< 5,56,54,47,0,1
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,10-May,51,54,41,0,1
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,0,1
138,female,group C,associate's degree,standard,NA,married,sometimes,yes,1,private,10-May,59,66,67,0,1
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,0,1
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,10-May,76,72,71,0,1
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,10-May,60,62,65,0,1
142,female,group E,some college,free/reduced,completed,single,regularly,NA,1,private,< 5,41,54,54,0,1
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,10-May,57,43,47,0,1
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,0,1
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,0,1
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,0,1
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,10-May,100,100,95,0,1
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,10-May,62,67,69,0,1
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,0,1
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,NA,10-May,54,49,47,0,1
154,male,group D,some high school,standard,none,single,never,no,2,NA,< 5,58,65,58,0,1
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,0,1
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,10-May,67,75,79,0,1
157,male,group B,NA,free/reduced,none,NA,sometimes,yes,2,school_bus,< 5,58,59,58,0,1
158,female,group B,associate's degree,standard,NA,divorced,regularly,yes,2,private,10-May,62,87,89,0,1
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,0,1
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,10-May,82,78,74,0,1
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,10-May,75,88,85,0,1
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,10-May,48,53,52,0,1
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,10-May,52,53,49,0,1
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,0,1
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,10-May,96,100,100,0,1
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,10-May,53,51,51,0,1
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,0,1
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,10-May,70,84,79,0,1
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,0,1
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,0,1
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,10-May,76,84,78,0,1
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,63,67,70,0,1
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,0,1
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,10-May,81,92,89,0,1
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,0,1
177,female,group C,associate's degree,standard,completed,married,regularly,yes,NA,school_bus,< 5,70,76,77,0,1
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,10-May,54,72,65,0,1
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,10-May,99,100,100,0,1
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,0,1
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,10-May,46,64,66,0,1
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,NA,50,50,47,0,1
183,female,group D,associate's degree,standard,none,single,sometimes,no,NA,private,< 5,63,67,68,0,1
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,0,1
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,0,1
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,10-May,62,66,68,0,1
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,0,1
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,0,1
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,66,65,69,0,1
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,0,1
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,NA,62,64,66,0,1
193,male,group D,some college,standard,completed,married,regularly,yes,4,NA,NA,79,62,63,0,1
194,female,group C,master's degree,standard,completed,NA,regularly,yes,1,school_bus,< 5,69,85,87,0,1
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,0,1
196,male,group C,NA,free/reduced,completed,married,never,yes,1,school_bus,10-May,57,67,63,0,1
197,male,group E,high school,free/reduced,none,married,NA,no,7,private,> 10,56,56,52,0,1
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,NA,> 10,47,54,57,0,1
199,female,group B,bachelor's degree,free/reduced,NA,married,regularly,yes,3,private,10-May,80,80,77,0,1
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,0,1
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,0,1
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,69,77,69,0,1
203,female,NA,associate's degree,standard,none,NA,regularly,yes,2,school_bus,10-May,58,70,69,0,1
204,male,group C,some college,standard,none,single,regularly,yes,1,NA,< 5,58,40,42,0,1
205,male,group D,some high school,standard,completed,married,NA,yes,NA,school_bus,< 5,71,69,76,0,1
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,10-May,84,62,63,0,1
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,10-May,83,81,77,0,1
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,0,1
209,female,group B,some college,free/reduced,NA,single,sometimes,no,2,NA,NA,58,61,66,0,1
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,0,1
211,male,group C,some college,free/reduced,NA,married,sometimes,yes,3,school_bus,10-May,35,28,27,0,1
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,10-May,42,62,60,0,1
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,10-May,61,51,57,0,1
214,male,group E,high school,standard,NA,married,sometimes,yes,1,private,10-May,87,91,81,0,1
215,male,group B,some high school,standard,completed,NA,regularly,no,2,private,10-May,86,84,76,0,1
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,0,1
217,female,group C,high school,free/reduced,NA,married,regularly,no,3,NA,< 5,33,41,39,0,1
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,0,1
219,male,group B,some high school,standard,completed,single,never,no,1,NA,10-May,59,55,54,0,1
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,10-May,57,69,75,0,1
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,0,1
222,female,group C,some high school,free/reduced,NA,divorced,sometimes,no,3,NA,10-May,55,65,62,0,1
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,10-May,88,81,76,0,1
224,female,group B,associate's degree,standard,completed,divorced,regularly,NA,3,school_bus,> 10,55,67,76,0,1
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,NA,private,< 5,43,55,52,0,1
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,10-May,72,72,71,0,1
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,10-May,58,50,55,0,1
228,male,group A,NA,free/reduced,none,divorced,sometimes,no,4,school_bus,10-May,68,72,64,0,1
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,0,1
230,male,group D,some college,standard,none,married,regularly,yes,0,NA,10-May,78,64,67,0,1
231,male,group C,associate's degree,standard,none,married,regularly,NA,1,private,10-May,47,43,43,0,1
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,67,86,83,0,1
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,0,1
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,0,1
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,0,1
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,0,1
237,female,group D,some high school,standard,NA,married,sometimes,yes,4,school_bus,< 5,62,59,72,0,1
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,0,1
239,male,group C,associate's degree,standard,none,NA,sometimes,yes,1,private,10-May,84,80,80,0,1
240,male,group D,high school,free/reduced,completed,divorced,NA,yes,1,private,> 10,75,69,67,0,1
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,10-May,82,84,85,0,1
243,male,group E,some college,standard,NA,single,regularly,no,2,school_bus,< 5,58,50,43,0,1
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,0,1
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,0,1
246,male,group E,associate's degree,standard,NA,married,regularly,no,2,school_bus,10-May,91,77,75,0,1
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,10-May,58,70,68,0,1
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,0,1
249,male,NA,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,0,1
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,10-May,47,49,49,0,1
251,female,group D,some college,free/reduced,none,married,regularly,NA,4,school_bus,< 5,70,82,83,0,1
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,10-May,60,70,70,0,1
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,NA,80,80,72,0,1
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,10-May,54,52,52,0,1
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,10-May,62,73,70,0,1
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,0,1
257,male,NA,associate's degree,standard,completed,married,regularly,NA,1,school_bus,10-May,80,78,78,0,1
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,0,1
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,10-May,79,79,78,0,1
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,10-May,45,50,52,0,1
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,10-May,99,93,90,0,1
264,male,group D,high school,standard,none,married,sometimes,no,2,private,10-May,76,73,68,0,1
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,0,1
266,female,NA,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,0,1
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,10-May,71,73,78,0,1
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,0,1
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,NA,71,76,70,0,1
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,69,63,61,0,1
271,male,group C,some college,standard,NA,single,regularly,yes,1,NA,< 5,57,48,42,0,1
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,10-May,48,53,59,0,1
273,female,group D,some college,standard,none,married,sometimes,no,2,private,10-May,65,70,71,0,1
274,male,group B,some college,standard,completed,widowed,NA,yes,1,school_bus,< 5,85,83,74,0,1
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,10-May,83,78,73,0,1
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,0,1
277,female,group E,NA,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,0,1
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,65,86,80,0,1
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,10-May,73,56,57,0,1
281,male,group D,high school,standard,none,divorced,sometimes,no,NA,private,10-May,45,48,46,0,1
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,10-May,75,80,86,0,1
283,female,group D,some college,free/reduced,completed,NA,never,yes,2,school_bus,10-May,67,76,76,0,1
284,female,NA,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,0,1
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,10-May,78,80,79,0,1
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,10-May,99,83,90,0,1
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,0,1
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,NA,< 5,85,73,74,0,1
289,male,NA,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,0,1
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,10-May,76,70,68,0,1
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,0,1
292,male,group C,some high school,standard,completed,married,never,yes,1,private,10-May,61,59,55,0,1
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,NA,school_bus,> 10,66,74,76,0,1
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,10-May,80,78,82,0,1
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,0,1
296,male,NA,some high school,standard,completed,widowed,regularly,no,2,school_bus,10-May,47,41,44,0,1
297,male,NA,associate's degree,standard,completed,single,regularly,no,1,school_bus,10-May,73,75,69,0,1
298,male,group C,NA,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,0,1
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,NA,< 5,89,86,75,0,1
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,0,1
301,male,group D,some high school,free/reduced,NA,divorced,regularly,no,4,school_bus,< 5,55,53,52,0,1
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80,0,1
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,10-May,82,77,65,0,1
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,10-May,76,76,85,0,1
305,male,group A,some college,standard,none,NA,sometimes,yes,7,private,10-May,69,67,69,0,1
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,10-May,100,88,83,0,1
307,male,group C,some high school,standard,none,single,regularly,no,2,NA,10-May,52,52,45,0,1
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70,0,1
309,female,group D,high school,free/reduced,NA,single,regularly,yes,5,NA,< 5,48,56,52,0,1
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,10-May,73,76,80,0,1
