student_ID,ParentEduc,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,WritingScore,School
44,associate's degree,yes,5,school_bus,< 5,52,1
45,associate's degree,yes,3,school_bus,< 5,55,1
47,high school,yes,NA,private,5 to 10,77,1
49,high school,NA,3,NA,5 to 10,82,1
50,some college,no,3,school_bus,> 10,48,1
51,associate's degree,no,2,private,< 5,68,1
52,some college,yes,3,school_bus,> 10,43,1
53,high school,yes,2,school_bus,5 to 10,75,1
54,some high school,yes,NA,private,> 10,90,1
55,high school,yes,2,private,5 to 10,43,1
56,associate's degree,yes,3,school_bus,> 10,87,1
57,associate's degree,no,2,private,5 to 10,49,1
58,NA,no,1,private,> 10,60,1
59,some high school,yes,3,school_bus,> 10,10,1
61,some high school,yes,NA,school_bus,5 to 10,34,1
62,associate's degree,yes,5,private,5 to 10,55,1
64,some high school,yes,0,school_bus,5 to 10,59,1
65,some high school,yes,1,private,< 5,58,1
66,some high school,yes,4,school_bus,5 to 10,37,1
67,some college,no,3,school_bus,5 to 10,75,1
68,associate's degree,no,3,school_bus,NA,57,1
69,associate's degree,yes,3,school_bus,5 to 10,57,1
71,some college,yes,3,private,> 10,64,1
72,associate's degree,yes,1,private,5 to 10,49,1
73,some high school,yes,3,school_bus,5 to 10,54,1
74,some high school,yes,2,private,< 5,40,1
75,associate's degree,no,NA,school_bus,5 to 10,38,1
76,some high school,no,5,school_bus,5 to 10,21,1
77,NA,yes,NA,NA,5 to 10,83,1
78,some high school,yes,2,school_bus,> 10,73,1
79,master's degree,yes,1,school_bus,5 to 10,68,1
80,associate's degree,yes,0,private,> 10,52,1
81,high school,yes,0,private,NA,45,1
82,some college,no,NA,school_bus,5 to 10,54,1
83,associate's degree,yes,0,private,5 to 10,64,1
84,high school,NA,3,private,5 to 10,33,1
85,some college,yes,0,private,5 to 10,82,1
86,some college,yes,NA,school_bus,< 5,86,1
87,associate's degree,yes,0,private,5 to 10,74,1
88,some college,yes,3,school_bus,< 5,67,1
89,some high school,yes,NA,private,> 10,83,1
91,high school,no,4,NA,5 to 10,36,1
92,high school,no,1,NA,< 5,69,1
93,associate's degree,no,3,private,> 10,52,1
94,some college,yes,4,private,5 to 10,94,1
96,some high school,yes,5,school_bus,5 to 10,61,1
97,some college,yes,0,school_bus,< 5,66,1
98,some college,yes,2,NA,> 10,64,1
99,bachelor's degree,yes,3,school_bus,< 5,62,1
100,some college,no,7,school_bus,5 to 10,67,1
101,bachelor's degree,no,1,private,5 to 10,74,1
102,associate's degree,yes,3,school_bus,5 to 10,91,1
103,high school,no,3,school_bus,5 to 10,48,1
104,some college,yes,1,school_bus,> 10,94,1
105,some college,yes,0,school_bus,5 to 10,72,1
106,master's degree,no,3,private,5 to 10,100,1
107,NA,yes,0,school_bus,5 to 10,64,1
108,associate's degree,yes,2,school_bus,5 to 10,70,1
109,some high school,no,3,school_bus,5 to 10,73,1
110,associate's degree,yes,4,school_bus,> 10,99,1
111,high school,no,6,NA,5 to 10,50,1
112,associate's degree,yes,0,school_bus,5 to 10,47,1
113,some college,yes,1,school_bus,< 5,51,1
114,bachelor's degree,yes,3,school_bus,< 5,100,1
115,high school,yes,4,private,5 to 10,74,1
116,bachelor's degree,no,1,school_bus,5 to 10,79,1
117,bachelor's degree,no,2,private,5 to 10,77,1
118,some high school,yes,0,private,> 10,63,1
119,some college,no,3,school_bus,5 to 10,65,1
120,bachelor's degree,yes,1,school_bus,5 to 10,86,1
121,associate's degree,yes,3,school_bus,< 5,90,1
122,some college,yes,1,NA,5 to 10,95,1
123,high school,no,3,private,NA,56,1
124,some college,no,3,school_bus,< 5,73,1
125,high school,yes,2,school_bus,> 10,85,1
126,NA,no,3,private,5 to 10,67,1
127,some college,no,3,school_bus,< 5,74,1
128,master's degree,yes,2,private,< 5,72,1
129,bachelor's degree,yes,0,school_bus,5 to 10,52,1
130,master's degree,no,1,school_bus,< 5,82,1
131,some high school,yes,1,private,< 5,40,1
132,some college,yes,2,school_bus,5 to 10,71,1
133,some college,no,6,NA,< 5,80,1
134,bachelor's degree,yes,1,private,> 10,76,1
135,bachelor's degree,yes,1,NA,< 5,47,1
136,some high school,yes,1,private,5 to 10,41,1
137,high school,yes,0,school_bus,< 5,54,1
138,associate's degree,yes,1,private,5 to 10,67,1
139,some college,yes,0,private,> 10,70,1
140,some high school,no,1,school_bus,5 to 10,71,1
141,some college,no,2,private,5 to 10,65,1
142,some college,NA,1,private,< 5,54,1
143,high school,no,1,school_bus,5 to 10,47,1
144,some college,yes,3,private,> 10,79,1
145,some college,yes,1,school_bus,< 5,33,1
148,bachelor's degree,yes,1,private,< 5,79,1
149,associate's degree,no,3,private,5 to 10,95,1
150,some high school,no,2,private,5 to 10,69,1
152,associate's degree,yes,2,school_bus,< 5,64,1
153,bachelor's degree,no,1,NA,5 to 10,47,1
154,some high school,no,2,NA,< 5,58,1
155,some college,yes,3,school_bus,< 5,88,1
156,high school,yes,1,school_bus,5 to 10,79,1
157,NA,yes,2,school_bus,< 5,58,1
158,associate's degree,yes,2,private,5 to 10,89,1
159,associate's degree,no,3,school_bus,> 10,66,1
160,associate's degree,yes,2,private,5 to 10,74,1
161,some college,yes,3,school_bus,5 to 10,85,1
162,master's degree,no,2,school_bus,5 to 10,52,1
163,high school,yes,1,school_bus,5 to 10,49,1
164,master's degree,yes,3,private,< 5,86,1
165,bachelor's degree,yes,0,school_bus,5 to 10,100,1
166,high school,yes,5,private,5 to 10,51,1
167,master's degree,no,1,private,> 10,83,1
168,high school,yes,2,private,5 to 10,79,1
170,high school,yes,5,school_bus,> 10,77,1
171,some high school,no,3,school_bus,< 5,76,1
172,some college,yes,3,school_bus,5 to 10,78,1
173,associate's degree,yes,2,school_bus,5 to 10,70,1
174,bachelor's degree,no,1,school_bus,< 5,52,1
175,master's degree,yes,1,school_bus,5 to 10,89,1
176,high school,no,2,school_bus,< 5,56,1
177,associate's degree,yes,NA,school_bus,< 5,77,1
178,master's degree,yes,2,school_bus,5 to 10,65,1
179,some high school,yes,0,school_bus,5 to 10,100,1
180,master's degree,yes,2,private,< 5,75,1
181,some college,yes,1,private,5 to 10,66,1
182,high school,yes,3,private,NA,47,1
183,associate's degree,no,NA,private,< 5,68,1
185,associate's degree,yes,5,private,< 5,62,1
186,high school,yes,1,school_bus,< 5,62,1
187,some high school,no,4,private,5 to 10,68,1
188,some high school,no,3,school_bus,< 5,45,1
189,bachelor's degree,yes,1,school_bus,< 5,85,1
190,associate's degree,yes,2,school_bus,5 to 10,69,1
191,some college,no,2,school_bus,< 5,77,1
192,some high school,no,3,private,NA,66,1
193,some college,yes,4,NA,NA,63,1
194,master's degree,yes,1,school_bus,< 5,87,1
195,associate's degree,no,4,school_bus,< 5,52,1
196,NA,yes,1,school_bus,5 to 10,63,1
197,high school,no,7,private,> 10,52,1
198,some college,yes,3,NA,> 10,57,1
199,bachelor's degree,yes,3,private,5 to 10,77,1
200,associate's degree,no,1,private,< 5,86,1
201,some college,yes,3,school_bus,< 5,75,1
202,associate's degree,yes,2,school_bus,5 to 10,69,1
203,associate's degree,yes,2,school_bus,5 to 10,69,1
204,some college,yes,1,NA,< 5,42,1
205,some high school,yes,NA,school_bus,< 5,76,1
206,bachelor's degree,yes,4,school_bus,5 to 10,63,1
207,high school,no,2,school_bus,5 to 10,77,1
208,some college,yes,1,private,< 5,76,1
209,some college,no,2,NA,NA,66,1
210,some high school,yes,3,school_bus,< 5,77,1
211,some college,yes,3,school_bus,5 to 10,27,1
212,high school,yes,2,school_bus,5 to 10,60,1
213,associate's degree,no,1,school_bus,5 to 10,57,1
214,high school,yes,1,private,5 to 10,81,1
215,some high school,no,2,private,5 to 10,76,1
216,associate's degree,yes,3,school_bus,< 5,86,1
217,high school,no,3,NA,< 5,39,1
218,high school,no,2,school_bus,< 5,68,1
219,some high school,no,1,NA,5 to 10,54,1
220,high school,yes,4,school_bus,5 to 10,75,1
221,associate's degree,yes,0,school_bus,> 10,74,1
222,some high school,no,3,NA,5 to 10,62,1
223,some high school,no,3,school_bus,5 to 10,76,1
224,associate's degree,NA,3,school_bus,> 10,76,1
225,master's degree,no,NA,private,< 5,52,1
226,some college,yes,5,school_bus,5 to 10,71,1
227,high school,yes,0,school_bus,5 to 10,55,1
228,NA,no,4,school_bus,5 to 10,64,1
229,some college,yes,3,school_bus,> 10,98,1
230,some college,yes,0,NA,5 to 10,67,1
231,associate's degree,NA,1,private,5 to 10,43,1
232,bachelor's degree,yes,2,school_bus,5 to 10,83,1
233,some high school,yes,3,school_bus,> 10,79,1
234,bachelor's degree,no,3,school_bus,> 10,85,1
235,associate's degree,no,1,school_bus,> 10,80,1
236,bachelor's degree,no,2,school_bus,< 5,67,1
237,some high school,yes,4,school_bus,< 5,72,1
238,some college,yes,2,private,> 10,53,1
239,associate's degree,yes,1,private,5 to 10,80,1
240,high school,yes,1,private,> 10,67,1
241,bachelor's degree,no,4,private,5 to 10,85,1
243,some college,no,2,school_bus,< 5,43,1
244,some high school,yes,1,school_bus,< 5,69,1
245,associate's degree,no,3,private,< 5,69,1
246,associate's degree,no,2,school_bus,5 to 10,75,1
247,high school,yes,1,private,5 to 10,68,1
248,high school,yes,2,private,< 5,60,1
249,high school,no,2,school_bus,> 10,54,1
250,some high school,yes,2,school_bus,5 to 10,49,1
251,some college,NA,4,school_bus,< 5,83,1
252,some high school,yes,3,private,5 to 10,70,1
253,master's degree,no,3,school_bus,NA,72,1
254,high school,yes,0,private,5 to 10,52,1
255,some college,no,1,school_bus,5 to 10,70,1
256,associate's degree,no,5,private,< 5,66,1
257,associate's degree,NA,1,school_bus,5 to 10,78,1
260,some high school,yes,1,private,> 10,78,1
261,some college,no,2,school_bus,5 to 10,78,1
262,some high school,no,2,private,5 to 10,52,1
263,high school,yes,1,private,5 to 10,90,1
264,high school,no,2,private,5 to 10,68,1
265,some high school,no,1,school_bus,< 5,40,1
266,bachelor's degree,no,2,school_bus,< 5,79,1
267,high school,no,3,school_bus,5 to 10,78,1
268,associate's degree,yes,5,school_bus,> 10,99,1
269,some college,no,2,school_bus,NA,70,1
270,bachelor's degree,yes,2,school_bus,5 to 10,61,1
271,some college,yes,1,NA,< 5,42,1
272,associate's degree,yes,2,private,5 to 10,59,1
273,some college,no,2,private,5 to 10,71,1
274,some college,yes,1,school_bus,< 5,74,1
275,bachelor's degree,no,3,school_bus,5 to 10,73,1
276,some high school,yes,3,private,< 5,91,1
277,NA,no,4,school_bus,< 5,73,1
278,some high school,yes,1,school_bus,5 to 10,80,1
279,bachelor's degree,no,2,school_bus,5 to 10,57,1
281,high school,no,NA,private,5 to 10,46,1
282,bachelor's degree,no,3,school_bus,5 to 10,86,1
283,some college,yes,2,school_bus,5 to 10,76,1
284,some high school,yes,0,private,< 5,46,1
285,associate's degree,yes,3,school_bus,5 to 10,79,1
286,associate's degree,yes,0,private,5 to 10,90,1
287,some high school,no,1,school_bus,< 5,80,1
288,bachelor's degree,yes,0,NA,< 5,74,1
289,some high school,yes,1,school_bus,> 10,78,1
290,associate's degree,no,2,school_bus,5 to 10,68,1
291,some high school,yes,2,private,< 5,68,1
292,some high school,yes,1,private,5 to 10,55,1
293,bachelor's degree,yes,NA,school_bus,> 10,76,1
294,high school,yes,3,school_bus,5 to 10,82,1
295,associate's degree,yes,1,school_bus,> 10,59,1
296,some high school,no,2,school_bus,5 to 10,44,1
297,associate's degree,no,1,school_bus,5 to 10,69,1
298,NA,no,2,private,< 5,50,1
299,associate's degree,no,2,NA,< 5,75,1
300,some college,yes,2,private,< 5,77,1
301,some high school,no,4,school_bus,< 5,52,1
302,associate's degree,yes,5,school_bus,> 10,80,1
303,associate's degree,yes,1,school_bus,5 to 10,65,1
304,associate's degree,yes,2,school_bus,5 to 10,85,1
305,some college,yes,7,private,5 to 10,69,1
306,some college,yes,5,private,5 to 10,83,1
307,some high school,no,2,NA,5 to 10,45,1
308,associate's degree,no,3,private,> 10,70,1
309,high school,yes,5,NA,< 5,52,1
310,associate's degree,no,2,school_bus,5 to 10,80,1
311,bachelor's degree,yes,3,school_bus,< 5,54,1
312,bachelor's degree,yes,0,private,NA,68,1
313,associate's degree,yes,2,private,> 10,70,1
315,high school,no,3,private,5 to 10,66,1
316,master's degree,yes,3,private,5 to 10,88,1
317,associate's degree,no,1,school_bus,5 to 10,78,1
318,bachelor's degree,yes,NA,private,< 5,67,1
319,associate's degree,no,1,school_bus,< 5,63,1
320,high school,yes,2,NA,< 5,82,1
321,high school,no,3,private,> 10,78,1
322,some college,yes,2,private,< 5,80,1
323,some high school,yes,5,private,5 to 10,51,1
324,high school,no,1,NA,< 5,42,1
325,some college,yes,3,school_bus,5 to 10,94,1
326,some college,yes,1,school_bus,5 to 10,62,1
327,some college,yes,2,school_bus,> 10,19,1
328,associate's degree,yes,5,school_bus,5 to 10,77,1
329,some high school,yes,2,school_bus,< 5,49,1
330,high school,yes,NA,school_bus,< 5,61,1
331,associate's degree,no,3,private,< 5,34,1
332,associate's degree,no,3,school_bus,> 10,52,1
333,associate's degree,yes,1,school_bus,5 to 10,81,1
334,bachelor's degree,yes,1,NA,NA,95,1
335,some college,yes,2,NA,5 to 10,67,1
336,some high school,no,NA,private,5 to 10,70,1
337,associate's degree,yes,2,NA,5 to 10,44,1
338,some high school,no,3,school_bus,< 5,26,1
339,some high school,yes,3,school_bus,5 to 10,60,1
340,high school,yes,1,school_bus,> 10,54,1
341,NA,yes,0,NA,5 to 10,64,1
342,NA,yes,1,school_bus,< 5,72,1
343,associate's degree,yes,3,private,< 5,65,1
344,some college,yes,2,school_bus,< 5,67,1
345,high school,yes,4,private,5 to 10,75,1
346,NA,no,2,school_bus,5 to 10,57,1
347,bachelor's degree,yes,0,NA,< 5,95,1
349,associate's degree,yes,2,private,> 10,79,1
350,bachelor's degree,yes,0,private,5 to 10,69,1
351,some college,no,4,school_bus,> 10,53,1
352,some college,no,1,school_bus,< 5,78,1
353,associate's degree,no,1,private,< 5,57,1
354,some college,yes,2,NA,< 5,66,1
355,bachelor's degree,no,3,school_bus,> 10,73,1
356,NA,no,2,private,5 to 10,61,1
357,some college,yes,1,private,< 5,67,1
359,some college,no,1,private,< 5,87,1
360,high school,yes,1,school_bus,5 to 10,57,1
361,some high school,yes,3,private,5 to 10,79,1
362,some college,no,2,private,5 to 10,59,1
363,some high school,no,3,school_bus,< 5,31,1
364,some college,yes,1,school_bus,5 to 10,59,1
365,bachelor's degree,no,2,private,> 10,62,1
366,high school,yes,2,NA,5 to 10,53,1
367,bachelor's degree,NA,3,private,> 10,63,1
368,some high school,yes,2,private,5 to 10,58,1
369,some high school,yes,5,school_bus,5 to 10,84,1
370,some college,yes,3,private,5 to 10,72,1
371,some college,no,4,school_bus,5 to 10,70,1
372,some high school,yes,0,private,> 10,73,1
373,some college,yes,1,private,> 10,97,1
374,bachelor's degree,yes,0,NA,> 10,74,1
376,some high school,no,2,school_bus,> 10,83,1
377,master's degree,yes,NA,private,5 to 10,100,1
378,some high school,no,1,private,> 10,78,1
379,bachelor's degree,yes,1,private,5 to 10,63,1
380,associate's degree,yes,1,school_bus,5 to 10,83,1
381,associate's degree,yes,0,private,< 5,93,1
382,master's degree,no,2,NA,5 to 10,73,1
383,some high school,yes,3,private,> 10,47,1
384,some high school,no,5,private,5 to 10,40,1
385,some college,yes,2,private,5 to 10,76,1
386,bachelor's degree,yes,0,school_bus,< 5,68,1
387,NA,yes,4,school_bus,5 to 10,68,1
388,high school,yes,3,private,5 to 10,64,1
389,master's degree,no,1,school_bus,< 5,75,1
390,some high school,yes,0,private,5 to 10,60,1
391,some college,no,3,private,< 5,75,1
392,some college,yes,3,school_bus,> 10,68,1
393,associate's degree,yes,4,private,> 10,58,1
394,some high school,no,NA,school_bus,5 to 10,77,1
396,high school,no,5,school_bus,5 to 10,61,1
398,some high school,yes,0,school_bus,< 5,57,1
399,some high school,no,4,private,< 5,51,1
400,some high school,yes,3,private,5 to 10,68,1
401,some college,no,1,school_bus,NA,43,1
402,some college,no,2,school_bus,> 10,57,1
403,high school,yes,4,private,5 to 10,100,1
404,high school,yes,0,school_bus,5 to 10,63,1
405,some high school,yes,NA,NA,< 5,68,1
406,associate's degree,no,3,school_bus,> 10,65,1
407,associate's degree,yes,3,school_bus,5 to 10,78,1
408,high school,no,2,school_bus,5 to 10,56,1
409,associate's degree,no,5,school_bus,> 10,84,1
410,master's degree,yes,2,private,5 to 10,78,1
411,some college,yes,4,school_bus,5 to 10,79,1
412,associate's degree,yes,3,private,NA,60,1
414,NA,yes,3,school_bus,5 to 10,80,1
415,high school,no,3,private,5 to 10,70,1
416,bachelor's degree,yes,3,private,< 5,66,1
417,associate's degree,yes,3,NA,< 5,65,1
418,some college,no,4,private,5 to 10,63,1
419,high school,no,3,private,5 to 10,54,1
421,high school,no,2,NA,< 5,64,1
422,master's degree,yes,0,private,> 10,68,1
423,some high school,yes,0,NA,< 5,78,1
424,some college,no,2,private,5 to 10,34,1
425,some college,yes,3,school_bus,< 5,60,1
426,bachelor's degree,yes,2,school_bus,5 to 10,88,1
427,some high school,yes,0,private,5 to 10,66,1
428,some high school,yes,1,private,NA,53,1
429,some high school,no,3,school_bus,> 10,55,1
430,associate's degree,NA,1,private,< 5,57,1
431,high school,yes,3,school_bus,NA,70,1
432,high school,yes,4,school_bus,< 5,52,1
433,some high school,no,NA,school_bus,< 5,49,1
434,NA,no,1,NA,> 10,67,1
435,some college,no,7,private,5 to 10,53,1
436,associate's degree,yes,3,school_bus,5 to 10,65,1
437,NA,yes,1,private,5 to 10,73,1
438,high school,yes,0,school_bus,< 5,51,1
439,some high school,NA,0,school_bus,5 to 10,82,1
440,NA,no,1,school_bus,5 to 10,80,1
441,high school,yes,2,NA,NA,80,1
442,some high school,yes,2,school_bus,5 to 10,69,1
443,associate's degree,no,1,school_bus,< 5,74,1
444,some high school,yes,0,school_bus,5 to 10,73,1
445,some high school,NA,3,NA,5 to 10,78,1
446,some college,yes,1,school_bus,> 10,62,1
447,high school,yes,2,school_bus,> 10,83,1
448,high school,yes,4,school_bus,5 to 10,43,1
449,associate's degree,yes,NA,school_bus,5 to 10,73,1
450,some college,yes,3,private,5 to 10,85,1
451,some college,NA,5,school_bus,5 to 10,97,1
452,associate's degree,no,1,school_bus,> 10,77,1
453,some college,yes,3,private,> 10,48,1
454,associate's degree,yes,3,private,5 to 10,63,1
455,bachelor's degree,yes,0,school_bus,5 to 10,47,1
456,bachelor's degree,no,3,school_bus,5 to 10,89,1
457,associate's degree,yes,1,NA,5 to 10,49,1
458,bachelor's degree,NA,2,school_bus,NA,100,1
459,high school,no,4,NA,5 to 10,68,1
460,bachelor's degree,no,1,private,< 5,55,1
461,some college,yes,1,school_bus,5 to 10,45,1
462,some college,no,1,private,5 to 10,74,1
463,some college,yes,4,school_bus,5 to 10,91,1
464,bachelor's degree,yes,NA,private,5 to 10,62,1
465,some college,no,4,NA,5 to 10,91,1
466,associate's degree,no,1,school_bus,> 10,38,1
467,high school,no,7,school_bus,> 10,67,1
468,high school,yes,3,private,5 to 10,87,1
469,some college,yes,2,private,5 to 10,77,1
470,associate's degree,no,1,private,5 to 10,90,1
471,high school,yes,0,private,< 5,74,1
472,associate's degree,yes,4,school_bus,5 to 10,84,1
473,some high school,no,5,private,> 10,60,1
474,associate's degree,yes,2,private,5 to 10,91,1
475,bachelor's degree,yes,3,NA,> 10,84,1
476,bachelor's degree,yes,2,school_bus,5 to 10,66,1
477,NA,no,1,school_bus,5 to 10,72,1
478,master's degree,yes,1,private,5 to 10,70,1
479,associate's degree,yes,4,school_bus,> 10,68,1
480,high school,yes,1,private,5 to 10,68,1
481,associate's degree,yes,3,school_bus,5 to 10,56,1
482,some college,yes,2,private,> 10,62,1
483,high school,yes,2,private,5 to 10,46,1
484,associate's degree,no,3,school_bus,< 5,54,1
485,high school,no,NA,school_bus,< 5,69,1
486,some college,yes,3,private,5 to 10,56,1
487,associate's degree,NA,4,school_bus,5 to 10,74,1
488,some high school,yes,1,school_bus,5 to 10,58,1
489,associate's degree,yes,5,school_bus,5 to 10,79,1
490,associate's degree,no,1,school_bus,< 5,76,1
491,associate's degree,NA,0,NA,5 to 10,70,1
492,some college,no,1,school_bus,5 to 10,90,1
493,bachelor's degree,yes,6,school_bus,< 5,88,1
494,high school,yes,2,school_bus,< 5,68,1
495,high school,yes,4,private,5 to 10,66,1
496,some college,no,3,school_bus,< 5,52,1
497,some college,no,1,school_bus,5 to 10,76,1
499,some college,yes,3,school_bus,< 5,70,1
500,master's degree,yes,2,school_bus,5 to 10,84,1
501,associate's degree,yes,0,private,< 5,90,1
502,some college,yes,0,school_bus,NA,54,1
503,associate's degree,yes,3,school_bus,> 10,96,1
504,master's degree,yes,1,private,5 to 10,57,1
505,some high school,yes,3,school_bus,< 5,78,1
506,high school,yes,1,school_bus,5 to 10,67,1
508,NA,no,3,private,5 to 10,77,1
509,bachelor's degree,no,1,private,5 to 10,89,1
510,some college,no,3,NA,5 to 10,73,1
511,NA,yes,2,NA,< 5,42,1
512,some high school,no,2,school_bus,< 5,52,1
513,some high school,yes,3,private,5 to 10,63,1
514,master's degree,yes,3,school_bus,5 to 10,94,1
515,some high school,no,1,private,5 to 10,85,1
516,some college,no,1,private,NA,84,1
517,some college,yes,1,school_bus,5 to 10,71,1
518,some high school,no,1,school_bus,5 to 10,79,1
519,high school,no,5,school_bus,5 to 10,79,1
520,NA,no,3,private,5 to 10,52,1
521,associate's degree,yes,4,private,5 to 10,84,1
522,bachelor's degree,yes,5,private,> 10,58,1
523,master's degree,yes,2,NA,5 to 10,52,1
524,high school,no,2,private,NA,49,1
525,some college,yes,3,private,> 10,60,1
526,some high school,yes,4,school_bus,< 5,58,1
527,high school,yes,2,NA,5 to 10,43,1
528,bachelor's degree,no,2,private,< 5,46,1
529,associate's degree,no,1,private,5 to 10,68,1
530,associate's degree,yes,1,private,5 to 10,73,1
531,some high school,yes,2,private,5 to 10,51,1
532,associate's degree,yes,2,school_bus,< 5,56,1
533,associate's degree,no,4,school_bus,5 to 10,94,1
534,high school,no,1,school_bus,> 10,69,1
535,bachelor's degree,yes,5,private,5 to 10,83,1
536,associate's degree,no,2,NA,< 5,55,1
537,high school,yes,1,school_bus,5 to 10,60,1
538,bachelor's degree,no,2,school_bus,< 5,69,1
539,associate's degree,no,3,school_bus,> 10,87,1
540,high school,no,1,private,5 to 10,68,1
541,associate's degree,no,2,school_bus,< 5,78,1
542,associate's degree,yes,3,private,5 to 10,80,1
543,associate's degree,no,2,private,> 10,93,1
544,NA,yes,2,NA,5 to 10,66,1
545,some high school,yes,1,school_bus,5 to 10,82,1
546,some high school,yes,3,school_bus,5 to 10,97,1
547,high school,yes,2,private,< 5,64,1
548,high school,no,5,school_bus,< 5,64,1
549,master's degree,yes,1,school_bus,< 5,69,1
550,some high school,yes,0,NA,< 5,63,1
551,bachelor's degree,no,2,private,5 to 10,90,1
552,NA,no,3,private,5 to 10,48,1
553,some college,no,2,private,5 to 10,65,1
554,associate's degree,yes,1,private,> 10,41,1
555,some college,no,NA,private,> 10,34,1
557,master's degree,yes,1,school_bus,5 to 10,69,1
558,associate's degree,no,2,school_bus,< 5,68,1
559,some high school,yes,2,school_bus,> 10,63,1
560,some college,no,3,school_bus,NA,79,1
561,some college,yes,3,school_bus,> 10,77,1
562,bachelor's degree,no,2,school_bus,< 5,92,1
563,some college,yes,1,NA,5 to 10,80,1
564,bachelor's degree,NA,1,school_bus,< 5,45,1
565,associate's degree,no,2,school_bus,< 5,44,1
566,bachelor's degree,no,4,private,5 to 10,97,1
567,master's degree,yes,2,NA,5 to 10,80,1
568,high school,yes,6,private,< 5,47,1
569,bachelor's degree,yes,2,private,NA,68,1
570,NA,yes,1,private,5 to 10,71,1
571,bachelor's degree,yes,1,school_bus,5 to 10,89,1
572,some college,no,5,private,> 10,57,1
573,high school,yes,1,school_bus,5 to 10,64,1
574,high school,no,1,private,> 10,72,1
575,associate's degree,yes,7,school_bus,5 to 10,53,1
576,some college,yes,0,school_bus,5 to 10,52,1
577,high school,yes,1,school_bus,< 5,87,1
578,some college,no,1,school_bus,> 10,59,1
579,master's degree,no,3,school_bus,< 5,68,1
580,some high school,no,2,school_bus,< 5,94,1
581,some high school,yes,3,school_bus,5 to 10,78,1
582,bachelor's degree,yes,1,school_bus,5 to 10,78,1
583,associate's degree,yes,2,school_bus,> 10,81,1
586,high school,yes,3,school_bus,5 to 10,73,1
587,bachelor's degree,yes,1,school_bus,< 5,62,1
588,some college,no,1,school_bus,< 5,65,1
589,some high school,yes,1,NA,5 to 10,65,1
590,some college,no,3,private,< 5,52,1
591,some high school,yes,5,school_bus,5 to 10,48,1
592,bachelor's degree,yes,NA,NA,5 to 10,62,1
593,NA,yes,3,private,5 to 10,73,1
594,bachelor's degree,no,2,private,5 to 10,100,1
595,bachelor's degree,yes,1,school_bus,> 10,73,1
596,high school,no,2,school_bus,5 to 10,15,1
597,some high school,yes,1,NA,5 to 10,46,1
598,high school,yes,4,school_bus,> 10,74,1
599,some high school,no,1,school_bus,5 to 10,81,1
600,master's degree,yes,1,private,< 5,63,1
601,high school,no,1,school_bus,5 to 10,30,1
602,some college,no,2,school_bus,5 to 10,80,1
603,high school,yes,1,school_bus,5 to 10,51,1
604,master's degree,NA,NA,school_bus,< 5,88,1
605,some high school,yes,3,private,< 5,60,1
606,associate's degree,yes,NA,school_bus,5 to 10,79,1
607,master's degree,yes,1,private,5 to 10,55,1
608,some college,yes,0,private,5 to 10,60,1
609,associate's degree,no,1,school_bus,< 5,65,1
610,some college,yes,5,school_bus,5 to 10,63,1
611,some college,yes,3,school_bus,< 5,64,1
